Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
283,3022.332,36.8,0.0724,0.1293,0.1558,0.067,0.0581,0.0606
284,3033.041,36.9,0.072,0.1291,0.1555,0.0667,0.0528,0.0607
285,3043.729,36.9,0.0714,0.1304,0.1558,0.067,0.0528,0.0607
286,3054.445,36.9,0.0717,0.1283,0.1566,0.0668,0.0526,0.0606
287,3065.159,36.8,0.071,0.1286,0.1566,0.0672,0.0528,0.0606
288,3075.869,36.9,0.0744,0.1301,0.1566,0.0686,0.0526,0.0605
289,3086.575,36.8,0.0722,0.1279,0.1573,0.0713,0.0526,0.0605
290,3097.288,36.8,0.0726,0.1286,0.1574,0.0732,0.0526,0.0605
291,3108.005,36.9,0.0718,0.1308,0.1576,0.0669,0.0526,0.061
292,3118.715,36.9,0.0709,0.1303,0.1575,0.0668,0.0543,0.0606
293,3129.42,36.9,0.0732,0.1301,0.1577,0.0705,0.0526,0.0606
294,3140.134,36.8,0.0704,0.1299,0.158,0.067,0.0529,0.0607
295,3150.839,36.8,0.0708,0.129,0.1582,0.0667,0.0575,0.0606
296,3161.574,36.9,0.0715,0.1296,0.1586,0.0669,0.0526,0.0606
297,3172.288,36.9,0.0708,0.1289,0.159,0.0669,0.0535,0.0604
298,3182.987,36.9,0.0712,0.1294,0.1585,0.0671,0.0527,0.0607
299,3193.685,36.9,0.0708,0.1293,0.159,0.0666,0.0527,0.0606
300,3204.39,36.9,0.0754,0.1298,0.1588,0.0674,0.0528,0.0606
301,3215.094,36.8,0.0714,0.1292,0.1588,0.0669,0.0527,0.0606
302,3225.8,36.8,0.0714,0.1283,0.159,0.0668,0.0525,0.0606
303,3236.511,36.8,0.0721,0.1307,0.1594,0.0668,0.0527,0.0608
304,3247.229,36.7,0.0714,0.1295,0.1594,0.067,0.0526,0.0609
305,3257.971,36.8,0.0715,0.1283,0.16,0.0669,0.0527,0.0607
306,3268.694,36.8,0.0701,0.1283,0.1596,0.0674,0.0527,0.0607
